From Type,From Name,From Place,Edge Type,To Type,To Name,To Place,Date,Weight,Identifier,Reference
Person,Peter McCulloch,Unknown,WROTE LETTER TO,Person,John McCulloch,,"1689, Oct 18",1,Jacobite Papers,GD26/8/50
Person,McLean,Calgarry,WROTE LETTER TO,Person,Canon,,"1689, Oct 29",1,Jacobite Papers,GD26/8/51
Person,David Graham,Perth,WROTE LETTER TO,Person,Canon,,"1689, Oct 30",1,Jacobite Papers,GD26/8/52
Person,James Winchester,Invergarry,WROTE LETTER TO,Person,Dunfermline,,"1689, Oct 31",1,Jacobite Papers,GD26/8/53
Person,Alexander McDowall,Invergarry,WROTE LETTER TO,Person,Canon,,"1689, Nov 11",1,Jacobite Papers,GD26/8/54
Person,John Grant ,Ballindaloch Castle,WROTE LETTER TO,Person,Unknown,,"1689, Nov 16",1,Jacobite Papers,GD26/8/55
Person,Lindsay,Unknown,WROTE LETTER TO,Person,Anderson,,"1689, Nov 21",1,Jacobite Papers,GD26/8/56
Person,Unknown,Unknown,WROTE LETTER TO,Person,Langton,,1689,2,Jacobite Papers,GD26/8/57
Person,Jacobite Agent,London,WROTE LETTER TO,Person,Doctor Fall,,"1689, Nov 28",1,Jacobite Papers,GD26/8/58
Person,Alexander McDowall,Monymusk,WROTE LETTER TO,Person,Unknown,,"1689, Dec 2",1,Jacobite Papers,GD26/8/59
Person,McDougal of Dunolych,Dunollie,WROTE LETTER TO,Person,Canon,,"1689, Dec 3",1,Jacobite Papers,GD26/8/60
Person,Alexander McDowall,Kilmuir,WROTE LETTER TO,Person,Canon,,"1689, Dec 6",1,Jacobite Papers,GD26/8/61
Person,L. McGregor,Aberfoyle,WROTE LETTER TO,Person,Dunfermline,,"1689, Dec 16",1,Jacobite Papers,GD26/8/62
Person,Alexander McDowall,Aros,WROTE LETTER TO,Person,Dunfermline,,"1689, Dec 18",1,Jacobite Papers,GD26/8/63
Person,Robert Stewart,Milgavie,WROTE LETTER TO,Person,Dunfermline,,"1689, Dec 21",1,Jacobite Papers,GD26/8/64
Person,Jane Wallace,Carlisle,Information,Person,Mayor of Carlisle,Carlisle,"1689, Dec 26",1,Jacobite Papers,GD26/8/65
Person,John Farquarson,Unknown,WROTE LETTER TO,Person,Canon,,"1689, Dec 29",1,Jacobite Papers,GD26/8/66
Person,John McNaughton,Unknown,Warrant,Place,Duart Castle,,"1689, Dec 31",1,Jacobite Papers,GD26/8/67
Person,Alexander McDowall,Unknown,WROTE LETTER TO,Person,Canon,,"1689, Dec",1,Jacobite Papers,GD26/8/68
Person,D. McDonald,Bornseitack,WROTE LETTER TO,Person,Canon,,"1689, Dec",1,Jacobite Papers,GD26/8/69
Person,Unknown,Unknown,Eulogy,Group,Jacobites,,c. 1689,1,Jacobite Papers,GD26/8/70
Group,Highland Clans,Unknown,Military Report,Person,Unknown,,c. 1689,1,Jacobite Papers,GD26/8/71
Person,Unknown,Huntly,WROTE LETTER TO,Person,Dunfermline,,c. 1689,1,Jacobite Papers,GD26/8/72
Person,Thomas Dunbar,Edinburgh Tollbooth,WROTE LETTER TO,Person,Lt. Col. Wilson,Edinburgh Castle,c. 1689,2,Jacobite Papers,GD26/8/73
Group,Cap. McAdam; two officers,Unknown,Report,Person,Unknown,,c. 1689,1,Jacobite Papers,GD26/8/74
Person,James Winchester,Strathdon,WROTE LETTER TO,Person,Dunfermline,,c. 1689,1,Jacobite Papers,GD26/8/75
Person,William Riach,Unknown,Information,Person,Melville,,c. 1689,1,Jacobite Papers,GD26/8/76
Person,Unknown,Edinburgh,Information,Person,Melville,,c. 1689,1,Jacobite Papers,GD26/8/77
Person,Ewan Cameron,Lochiel,WROTE LETTER TO,Person,Canon,,"1690, Jan 18",1,Jacobite Papers,GD26/8/78
Person,John Farquarson,Brae of Mar,WROTE LETTER TO,Person,Canon,,"1690, Jan 26",1,Jacobite Papers,GD26/8/79
Person,Alexander McDowall,Duart,WROTE LETTER TO,Person,Canon,,"1690, Jan 26",1,Jacobite Papers,GD26/8/80
Person,Alexander McLean,Duart,WROTE LETTER TO,Person,Canon,,"1690, Jan 28",1,Jacobite Papers,GD26/8/81
Person,Alexander McDonald,Inverlochy,WROTE LETTER TO,Person,Glengarry,,"1690, Feb 1",1,Jacobite Papers,GD26/8/82
Person,Buchan,Mull,WROTE LETTER TO,Person,Canon,Lochaber,"1690, Feb 3",1,Jacobite Papers,GD26/8/83
Person,John Boyd,Belfast,Deposition,Group,Skelmorlie; Provost of Irvine,Irvine,"1690, Feb 5",1,Jacobite Papers,GD26/8/84
Person,Alexander McDowall,Duart,WROTE LETTER TO,Person,Canon,Lochaber,"1690, Feb 27",1,Jacobite Papers,GD26/8/85
Person,A. McDougall,Dunollie,WROTE LETTER TO,Person,Laird McNaughton,,"1690, Mar 2",1,Jacobite Papers,GD26/8/86
Person,Patrick Logan,Unknown,WROTE LETTER TO,Person,Buchan,,"1690, Mar 5",1,Jacobite Papers,GD26/8/87
Person,McNaughton,Unknown,WROTE LETTER TO,Person,Canon,,"1690, Mar 8",1,Jacobite Papers,GD26/8/88
Person,Allan McDonald,Moidart,WROTE LETTER TO,Person,Canon,,"1690, Mar 8",1,Jacobite Papers,GD26/8/89
Person,Lady Dunfermline,Fyvie,WROTE LETTER TO,Person,Dunfermline,,"1689, Mar 18",1,Jacobite Papers,GD26/8/90
Person,King James,Dublin,Commission,Organization,Parliament,,"1690, Mar",1,Jacobite Papers,GD26/8/91
Person,King James,Dublin,Plan for Invasion,Group,Jacobites,,"1690, Mar",1,Jacobite Papers,GD26/8/91
Person,William McKay,Thurso,WROTE LETTER TO,Person,Thomas Livingston,Inverness,c. 1690,2,Jacobite Papers,GD26/8/92
Person,John Buchan,Aberdeen,WROTE LETTER TO,Person,Unknown,,"1690, Apr 7",1,Jacobite Papers,GD26/8/93
Person,King James,Dublin,Instructions,Organization,Parliament,,"1690, Apr 13",2,Jacobite Papers,GD26/8/93a
Person,Unknown,London,WROTE LETTER TO,Person,Melville,Edinburgh,"1690, May 30",1,Jacobite Papers,GD26/8/94
Person,Jameson,France,WROTE LETTER TO,Person,Thomas Davidson,,"1690, Jun 29",1,Jacobite Papers,GD26/8/95
Person,Alexander McDowall,Duart,WROTE LETTER TO,Person,Aeneas Macpherson,,"1690, Jul 18",1,Jacobite Papers,GD26/8/96
Person,John Grierson,Dumfries,WROTE LETTER TO,Person,Melville,,"1690, Aug 6",1,Jacobite Papers,GD26/8/97
Person,James Graham,Edinurgh,Passes,Group ,Bellenden,,"1690, Sep 2",1,Jacobite Papers,GD26/8/98
Person,Buchan,Fedderate,WROTE LETTER TO,Person,Hamilton,,"1690, Sep 18",1,Jacobite Papers,GD26/8/99
Person,J. Ribault,Essex,WROTE LETTER TO,Person,Melville,,"1690, Dec 9",1,Jacobite Papers,GD26/8/101
Person,John Stewart,Ardsheal,Information,Person,Laird McNaughton,,c. 1690,1,Jacobite Papers,GD26/8/102
Person,Isobel McNaughton,Unknown,WROTE LETTER TO,Person,McNaughton,,c. 1690,1,Jacobite Papers,GD26/8/103
Person,I. Campbell,Castle Kilchurn,WROTE LETTER TO,Person,Laird McNaughton,,c. 1690,5,Jacobite Papers,GD26/8/104
Person,A. Kennedy,Unknown,WROTE LETTER TO,Person,Canon,,c. 1690,1,Jacobite Papers,GD26/8/105
Person,James Winchester,Strathdon,WROTE LETTER TO,Person,Dunfermline,,c. 1690,1,Jacobite Papers,GD26/8/106
Person,Alexander Canon,Unknown,WROTE LETTER TO,Person,Laird McNaughton,,c. 1690,1,Jacobite Papers,GD26/8/107
Person,Alexander Canon,Unknown,WROTE LETTER TO,Person,Laird McNaughton,,c. 1690,1,Jacobite Papers,GD26/8/108
Person,McLean of Duart,Duart,WROTE LETTER TO,Person,Canon,,c. 1690,1,Jacobite Papers,GD26/8/109
Person,McLean of Duart,Duart,WROTE LETTER TO,Person,James McLean,,c. 1690,1,Jacobite Papers,GD26/8/110
Person,Unknown,Unknown,WROTE LETTER TO,Person,Unknown,,c. 1690,1,Jacobite Papers,GD26/8/111
Person,Alexander McDowall,Unknown,WROTE LETTER TO,Person,Canon,,c. 1690,1,Jacobite Papers,GD26/8/112
Person,Unknown,Unknown,Letters,Person,Unknown,,c. 1690,4,Jacobite Papers,GD26/8/113
Group,John Chapel; John Price; Richard Morris,Unknown,Discovery,Person,Melville,,c. 1690,1,Jacobite Papers,GD26/8/114
Group,Highland Chieftains,Unknown,Declaration,Person,Parliament,,c. 1690,1,Jacobite Papers,GD26/8/115
Person,Gordon,Unknown,Declaration,Person,Unknown,,c. 1690,1,Jacobite Papers,GD26/8/116
Person,Canon,Lochaber,WROTE LETTER TO,Person,Melfort,Dublin,c. 1690,1,Jacobite Papers,GD26/8/117
Person,Balcarres,Edinburgh Castle,Discourse,Person,King James ,,c. 1690,1,Jacobite Papers,GD26/8/118
Group,John Price; Richard Morris,Edinburgh,Report,Person,Melville,,c. 1690,1,Jacobite Papers,GD26/8/119
Person,Buchan,Isle of Skye,WROTE LETTER TO,Person,Canon,,c. 1690,1,Jacobite Papers,GD26/8/120
Person,John Chapel,Unknown,Information,Person,Melville,,"1691, Feb",1,Jacobite Papers,GD26/8/121
Person,John Mackie,Edinburgh,WROTE LETTER TO,Person,Melville,London,1690-1691,24,Jacobite Papers,GD26/8/122
Person,Unknown,Unknown,Papers,Person,Melville,,1690-1703,9,Jacobite Papers,GD26/8/123
Person,Jacobite Agent,"Mallow, Cork",WROTE LETTER TO,Person,Jacobite Agent,,"1691, Jan 17",2,Jacobite Papers,GD26/8/124
Person,Unknown,London,WROTE LETTER TO,Person,John Drummond,,"1691, Apr 14",1,Jacobite Papers,GD26/8/125
Person,Melfort,"Rome,Italy",WROTE LETTER TO,Person,Cap. Cole,Livorno,"1691, Aug 12",1,Jacobite Papers,GD26/8/126
Person,Unknown,St. Germaine,WROTE LETTER TO,Person,Melville,London,"1691, Aug 30",1,Jacobite Papers,GD26/8/127
Group,Shires of Perth; Stirling; Dumbarton,Perth,Account ,Person,Melville,London,1691,1,Jacobite Papers,GD26/8/128
Person,Buchan,Unknown,Agreement,Person,Breadalbane,,1691,1,Jacobite Papers,GD26/8/129
Person,A. Gordon,Invergarry,WROTE LETTER TO,Person,Aeneas Macpherson,,"1692, Jan 6",1,Jacobite Papers,GD26/8/130
Person,Melfort,St. Germaine,Copy Letter,Person,Unknown,,1692,1,Jacobite Papers,GD26/8/131
Person,Perth,Stirling Castle,Letter,Person,Countess Errol,,"1688, Dec 29",1,Perth Letters,
Person,Perth,Stirling Castle,Letter,Person,Melfort,,"1688, Dec 31",1,Perth Letters,
Person,Perth,Stirling Castle,Letter,Person,Countess Errol,,"1689, Jan 13",1,Perth Letters,
Person,Perth,Edinburgh,Letter,Person ,Atholl,,"1688, Oct 16",1,Atholl Letters,
Person,Marchioness of Atholl,Edinburgh,Letter,Person ,Lord Murray,London,"1689, Jan 3",1,Atholl Letters,
Person,Robert Murray,London,Letter,Person ,Marquis Atholl,,"1689, March 5",1,Atholl Letters,
Person,Unknown,Perth,Letter,Person ,Lord Murray,London,"1689, May 2",1,Atholl Letters,
Person,Do. Robertson,Calvin,Letter,Person ,Alexander Robertson of Strowan,,"1689, May 25",1,Atholl Letters,
Person,Mari Baillie,Cari,Letter,Person ,Lord Murray,London,"1689, May 29",1,Atholl Letters,
Person,Hamilton,Holyrood House,Letter,Person ,Lord Murray,,"1689, May 30",1,Atholl Letters,
Person,Haldane of Gleneagles,,Letter,Person ,Lord Murray,,"1689, June 16",1,Atholl Letters,
Person,Haldane of Gleneagles,,Letter,Person ,Lord Murray,,"1689, June 21",1,Atholl Letters,
Person,Haldane of Gleneagles,,Letter,Person ,Lord Murray,,"1689, June 30",1,Atholl Letters,
Person,Dundee,Stroan,Letter,Group,Leonard Robertson of Strathloch; John Robertson of Blatton,,"1689, July 10",1,Atholl Letters,
Person,Leonard Robertson,,Letter,Person ,Lord Murray,,"1689, July 14",1,Atholl Letters,
Person,Mackay,Stirling,Letter,Person ,Lord Murray,,"1689, July 25",1,Atholl Letters,
Person,Patrick Stuart of Ballechin,,Letter,Person ,Lord Murray,,"1689, July 25",1,Atholl Letters,
Person,Unknown,Perth,Letter,Person ,Lord Murray,,"1689, July 26",1,Atholl Letters,
Person,Mackay,Dunkeld,Letter,Person ,Lord Murray,,"1689, July 26",1,Atholl Letters,
Person,Patrick Stuart of Ballechin,Blair Castle,Letter,Person ,Lord Murray,,"1689, July 27",1,Atholl Letters,
Person,Lord Murray,Tullimet,Letter,Person ,Lord James Murray of Dowally,,"1689, July 28",1,Atholl Letters,
Person,Thomas Stuart of Stenton,Tullimet,Letter,Person ,Lord Murray,,"1689, July 29",1,Atholl Letters,
Person,R. Campbell of Glenlyon,Chesthill,Letter,Person ,Lord Murray,,"1689, July 29",1,Atholl Letters,
Person,Mackay,St. Johnston,Letter,Person ,Lord Murray,,"1689, Aug 4",1,Atholl Letters,
Person,Lord Murray,,Letter,Person ,James Stewart of Kinrorie,,"1689, Aug 6",1,Atholl Letters,
Person,Leonard Robertson,Binvrakkie,Letter,Person ,Lord Murray,,"1689, Aug 7",1,Atholl Letters,
Person,C. Graham,Dunkeld,Letter,Person ,Marchioness of Atholl,,"1689, Aug 7",1,Atholl Letters,
Person,John Robertson,Balgarie,Letter,Person ,Lord Murray,,"1689, Aug 8",1,Atholl Letters,
Person,Patrick Moray of Ochertyre,Foulis,Letter,Person ,Lord Murray,,"1689, Sep 3",1,Atholl Letters,
Person,Lord Murray,,Letter,Person ,Unknown,,"1689, May 29",1,Atholl Letters,
Group,"Perth, Dumbarton, Tarbat",Edinburgh,Letter,Person,Mar,,"1688, May 23",1,Kellie and Mar Papers,
Person,Perth,Edinburgh,Letter,Person,Mar,,"1688, Aug 15",1,Kellie and Mar Papers,
Person,Perth,Edinburgh,Letter,Person,Mar,,"1688, Oct 31",1,Kellie and Mar Papers,
Organization,Privy Council ,Edinburgh,Letter,Person,Mar,,"1688, Nov 16",1,Kellie and Mar Papers,
Organization,Privy Council ,Edinburgh,Order,Person,Mar,,"1688, Nov 28",1,Kellie and Mar Papers,
Person,Arthur Forbes of Brux,,Letter,Person,Mar,,c.1688,1,Kellie and Mar Papers,
Person,King William,St. James,Letter,Person,Mar,,"1689, Feb 5",1,Kellie and Mar Papers,
Organization,Estates of Scotland,Edinburgh,Order,Person,Mar,,"1689, April 12",1,Kellie and Mar Papers,
Person,Annandale,Dumfries,Letter,Person,Lord Chancellor Perth,,"1688, June 29",1,Annandale Papers,
Person,Mackay,Elgin,Order,Person,Commander Colonel Langton's regiment,,"1689, May 8",1,Annandale Papers,
Group,Highland Chieftains,Birss,Letter,Person,Mackay,,"1689, Aug 17",1,Annandale Papers,
Person,John Dalrymple,London,Letter,Person,Thomas Livingston,,"1691, April 28",1,Annandale Papers,
Person,John Dalrymple,London,Letter,Person,Thomas Livingston,,"1691, May 4",1,Annandale Papers,
Person,John Dalrymple,London,Letter,Person,Thomas Livingston,,"1691, May 6",1,Annandale Papers,
Person,William Hamilton of Whitelaw,,Letter,Person,Annandale,,"1691, July 9",1,Annandale Papers,
Person,Unknown,,Letter,Person,Unknown,,"1691, July 14",1,Annandale Papers,
Person,William Hamilton of Whitelaw,,Letter,Person,Annandale,,"1691, July 30",1,Annandale Papers,
Person,Unknown,,Letter,Person,Annandale,Bath,"1691, Aug 1",1,Annandale Papers,
Person,Unknown,,Letter,Person,Annandale,Bath,"1691, Aug 3",1,Annandale Papers,
Person,William Hamilton of Whitelaw,,Letter,Person,Annandale,Bath,"1691, August 6",1,Annandale Papers,
Person,Alexander Johnstone,,Letter,Person,Annandale,Bath,"1691, Aug 7",1,Annandale Papers,
Person,Alexander Johnstone,,Letter,Person,Annandale,,"1692, Oct 25",1,Annandale Papers,
Person,John Fairholme of Craigiehall,Westminster,Letter,Person,Annandale,,"1692, Dec 1",1,Annandale Papers,
Person,Archibald Sinclair,Edinburgh,Letter,Person,Annandale,,"1692, Feb 23",1,Annandale Papers,
Person,John Dalrymple,,Letter,Person,Sir Patrick Murray,,"1692, Feb 27",1,Annandale Papers,
Person,Dundee,,Letter,Person,Dunfermline,,"1689, April 21",1,"Montgomerie Family, Earls of Eglington",
Person,Dundee,Stroan,Letter,Person,Breadalbane,,"1689, July 20",1,"Campbell Family, Earls of Breadalbane",GD112
Person,Dundee,Brechin,Letter,Person,Laird of Mackintosh,,"1689, April 24",1,Family of Mackintosh,
Person,King James,Dublin Castle,Letter,Person,Dundee,,"1689, May 17",1,State Papers Miscellanea,
Person,Dunfermline,,Letter,Person,Melfort,,"1689, Aug 29",1,"Montgomerie Family, Earls of Eglington",
Person,Breadalbane,,Letter,Person,Perth,,c.1687-1691,1,"Families of Moray of Abercairny, Drummond of Blair Drummond, Home of Kames, and Stirling of Ardoch",
Person,C. Campbell,,Letter,Person,Perth,,c.1687-1691,1,"Families of Moray of Abercairny, Drummond of Blair Drummond, Home of Kames, and Stirling of Ardoch",
Person,Kilbride,,Letter,Person,Perth,,c.1687-1691,1,"Families of Moray of Abercairny, Drummond of Blair Drummond, Home of Kames, and Stirling of Ardoch",
Person,Wigtown,St. Germaine,Letter,Person,Perth,,"1691, Sep 7",1,"Families of Moray of Abercairny, Drummond of Blair Drummond, Home of Kames, and Stirling of Ardoch",
Person,Argyll,Inverary,Letter,Person,Dugal Campbell of Melfort,,"1691, Jul 8",1,Papers of Society of Antiquaries of Scotland,
Person,George Drummond,,Petition,Organization,Privy Council,Edinburgh,"1689, Mar 30",1,"Families of Moray of Abercairny, Drummond of Blair Drummond, Home of Kames, and Stirling of Ardoch",
Person,Unknown,,Letter,Person,Your Grace,,"1691, Jul 2",1,"Families of Moray of Abercairny, Drummond of Blair Drummond, Home of Kames, and Stirling of Ardoch",
Person,"Marie, Countess of Perth",,Petition,Person,Unknown,,c. 1692,1,"Families of Moray of Abercairny, Drummond of Blair Drummond, Home of Kames, and Stirling of Ardoch",
Person,Perth,Edinburgh,Letter,Person,Mar,Edinburgh Castle,"1688, May 21",1,"Families of Moray of Abercairny, Drummond of Blair Drummond, Home of Kames, and Stirling of Ardoch",
Person,Perth,Edinburgh,Letter,Person,Mar,,"1688, Aug 15",1, Earls of Mar and Kellie,
Person,Perth,Edinburgh,Letter,Person,Mar,,"1688, Oct 1",1, Earls of Mar and Kellie,
Person,Perth,Edinburgh,Letter,Person,Mar,,"1688, Oct 15",1, Earls of Mar and Kellie,
Person,Perth,Edinburgh,Letter,Person,Mar,,"1688, Oct 19",1, Earls of Mar and Kellie,
Person,Perth,Edinburgh,Letter,Person,Mar,,"1688, Oct 31",1, Earls of Mar and Kellie,
Person,William Bennett,London,Letter,Person,Robert Boyle,London,1689,1,Papers of the Ogilvy family of Inverquharity,
Person,William Bennett,London,Letter,Person,William Bruce,London,1689,1,Papers of the Ogilvy family of Inverquharity,
Person,William Bennett,London,Letter,Person,William Bruce,London,1690,1,Papers of the Ogilvy family of Inverquharity,
Person,William Bennett,London,Letter,Person,Robert Macky,Glasgow,1690,2,Papers of the Ogilvy family of Inverquharity,
Person,William Bennett,London,Letter,Person,Helen Maxwell,,1690,1,Papers of the Ogilvy family of Inverquharity,
Person,William Bennett,London,Letter,Person,John Aitkine,Edinburgh,1692,2,Papers of the Ogilvy family of Inverquharity,
Person,George Drummond,Edinburgh,Letter,Person,Breadalbane,,"1691, Dec 19",1,Breadalbane Correspondence,GD112
Person,Breadalbane,,Letter,Person,Carwhin,,1690 Feb,1,Breadalbane Correspondence,GD112
Person,Breadalbane,Achmor,Letter,Person,Carwhin,,1690 Dec,1,Breadalbane Correspondence,GD112
Person,Breadalbane,,Letter,Person,Atholl,,undated,1,Breadalbane Correspondence,GD112
Person,John Campbell of Invergeldie,Balloch,Letter,Person,Breadalbane,,"1688, Dec 3",1,"Papers of the family of Campbell of Balliveolan, Argyll",
Person,Breadalbane,,Letter,Person,Alexander Campbell of Barcaldine,,"1692, May 26",1,Papers of the Mackay family of Bighouse,
Person,Breadalbane,,Representation,Person,Unknown,,1692,1,Yule Collection,
Person,Carwhin,,Letter,Person,Breadalbane,,"1688, Jan 4",1,Breadalbane Correspondence,GD112
Person,Breadalbane,Balloch,Letter,Person,Mr. Hamilton,Edinburgh,"1688, Jan 9",1,Breadalbane Correspondence,GD112
Person,Carwhin,Edinburgh,Letter,Person,Breadalbane,,"1688, Feb 11",1,Breadalbane Correspondence,GD112
Person,Carwhin,Edinburgh,Letter,Person,Breadalbane,,"1688, Feb 16",1,Breadalbane Correspondence,GD112
Person,Breadalbane,Balloch,Letter,Person,Duncan Campbell,Glenurchy,"1688, Mar 16",2,Breadalbane Correspondence,GD112
Person,John Campbell of Mamore,London,Letter,Person,Breadalbane,,"1688, Mar 17",1,Breadalbane Correspondence,GD112
Person,Breadalbane,Balloch,Letter,Person,Duncan Campbell,Glenurchy,"1688, Mar 20",1,Breadalbane Correspondence,GD112
Person,Newcastle,Wellbeck,Letter,Person,Breadalbane,,"1688, April 24",1,Breadalbane Correspondence,GD112
Person,David Forbes,Edinburgh,Letter,Person,Breadalbane,,"1688, April 30",1,Breadalbane Correspondence,GD112
